PM-2.5,O3,NO2,CO,SO2,temperatures,wind_velocity,wind_direction,relative_humidity
33.0,0.07894736842105263,0.5490196078431372,0.39999999999999997,0.36363636363636365,0.268733850129199,0.18072289156626503,4,0.7659574468085106
33.0,0.08771929824561403,0.3137254901960784,0.39999999999999997,0.18181818181818182,0.268733850129199,0.18072289156626503,4,0.7659574468085106
30.0,0.07894736842105263,0.49019607843137253,0.46666666666666673,0.36363636363636365,0.268733850129199,0.18072289156626503,4,0.7659574468085106
38.0,0.07017543859649122,0.4117647058823529,0.26666666666666666,0.27272727272727276,0.268733850129199,0.18072289156626503,4,0.7659574468085106
31.0,0.07017543859649122,0.607843137254902,0.6666666666666666,0.7272727272727273,0.268733850129199,0.18072289156626503,4,0.7659574468085106
33.0,0.07894736842105263,0.5098039215686274,0.6,0.27272727272727276,0.268733850129199,0.18072289156626503,4,0.7659574468085106
42.0,0.07894736842105263,0.607843137254902,0.5333333333333333,0.36363636363636365,0.2997416020671835,0.4337349397590361,4,0.7872340425531915
33.0,0.07017543859649122,0.6470588235294118,0.5333333333333333,0.5454545454545454,0.2997416020671835,0.4337349397590361,4,0.7872340425531915
47.0,0.08771929824561403,0.47058823529411764,0.26666666666666666,0.27272727272727276,0.2997416020671835,0.4337349397590361,4,0.7872340425531915
38.0,0.12280701754385964,0.5686274509803921,0.3333333333333333,0.36363636363636365,0.2997416020671835,0.4337349397590361,4,0.7872340425531915
41.0,0.08771929824561403,0.3725490196078431,0.39999999999999997,0.09090909090909091,0.2997416020671835,0.4337349397590361,4,0.7872340425531915
38.0,0.13157894736842105,0.47058823529411764,0.46666666666666673,0.4545454545454546,0.2997416020671835,0.4337349397590361,4,0.7872340425531915
53.0,0.09649122807017543,0.5098039215686274,0.3333333333333333,0.27272727272727276,0.2635658914728682,0.2771084337349397,4,0.70354609929078
60.0,0.12280701754385964,0.607843137254902,0.6,0.36363636363636365,0.2635658914728682,0.2771084337349397,4,0.70354609929078
50.0,0.13157894736842105,0.5686274509803921,0.6,0.5454545454545454,0.2635658914728682,0.2771084337349397,4,0.70354609929078
52.0,0.13157894736842105,0.5490196078431372,0.5333333333333333,0.36363636363636365,0.2635658914728682,0.2771084337349397,4,0.70354609929078
66.0,0.14035087719298245,0.3333333333333333,0.46666666666666673,0.18181818181818182,0.2635658914728682,0.2771084337349397,4,0.70354609929078
60.0,0.16666666666666669,0.5686274509803921,0.39999999999999997,0.36363636363636365,0.2635658914728682,0.2771084337349397,4,0.70354609929078
33.0,0.05263157894736842,0.8431372549019607,0.7333333333333333,0.7272727272727273,0.2868217054263566,0.09638554216867468,7,0.6099290780141844
50.0,0.09649122807017543,0.5294117647058824,0.3333333333333333,0.27272727272727276,0.2868217054263566,0.09638554216867468,7,0.6099290780141844
40.0,0.06140350877192983,0.784313725490196,0.6666666666666666,0.5454545454545454,0.2868217054263566,0.09638554216867468,7,0.6099290780141844
46.0,0.06140350877192983,0.784313725490196,0.6,0.4545454545454546,0.2868217054263566,0.09638554216867468,7,0.6099290780141844
38.0,0.07894736842105263,0.7254901960784315,0.39999999999999997,0.36363636363636365,0.2868217054263566,0.09638554216867468,7,0.6099290780141844
47.0,0.08771929824561403,0.45098039215686275,0.46666666666666673,0.27272727272727276,0.2868217054263566,0.09638554216867468,7,0.6099290780141844
29.0,0.09649122807017543,0.5294117647058824,0.46666666666666673,0.7272727272727273,0.28940568475452194,0.4819277108433734,2,0.6212765957446809
23.0,0.13157894736842105,0.4117647058823529,0.39999999999999997,0.4545454545454546,0.28940568475452194,0.4819277108433734,2,0.6212765957446809
29.0,0.12280701754385964,0.4313725490196078,0.3333333333333333,0.18181818181818182,0.28940568475452194,0.4819277108433734,2,0.6212765957446809
27.0,0.12280701754385964,0.4313725490196078,0.46666666666666673,0.36363636363636365,0.28940568475452194,0.4819277108433734,2,0.6212765957446809
24.0,0.11403508771929824,0.5686274509803921,0.3333333333333333,0.27272727272727276,0.28940568475452194,0.4819277108433734,2,0.6212765957446809
27.0,0.08771929824561403,0.3137254901960784,0.3333333333333333,0.18181818181818182,0.28940568475452194,0.4819277108433734,2,0.6212765957446809
10.0,0.2192982456140351,0.3333333333333333,0.20000000000000004,0.09090909090909091,0.351421188630491,0.37349397590361444,3,0.5460992907801419
9.0,0.16666666666666669,0.3725490196078431,0.20000000000000004,0.27272727272727276,0.351421188630491,0.37349397590361444,3,0.5460992907801419
8.0,0.2280701754385965,0.19607843137254902,0.13333333333333333,0.18181818181818182,0.351421188630491,0.37349397590361444,3,0.5460992907801419
9.0,0.17543859649122803,0.3333333333333333,0.26666666666666666,0.36363636363636365,0.351421188630491,0.37349397590361444,3,0.5460992907801419
4.0,0.16666666666666669,0.2156862745098039,0.13333333333333333,0.09090909090909091,0.351421188630491,0.37349397590361444,3,0.5460992907801419
8.0,0.21052631578947367,0.3725490196078431,0.13333333333333333,0.09090909090909091,0.351421188630491,0.37349397590361444,3,0.5460992907801419
31.0,0.05263157894736842,0.607843137254902,0.39999999999999997,0.5454545454545454,0.28940568475452194,0.04819277108433734,2,0.6709219858156028
24.0,0.06140350877192983,0.6274509803921569,0.3333333333333333,0.27272727272727276,0.28940568475452194,0.04819277108433734,2,0.6709219858156028
24.0,0.05263157894736842,0.3529411764705882,0.26666666666666666,0.09090909090909091,0.28940568475452194,0.04819277108433734,2,0.6709219858156028
23.0,0.07017543859649122,0.49019607843137253,0.3333333333333333,0.27272727272727276,0.28940568475452194,0.04819277108433734,2,0.6709219858156028
30.0,0.06140350877192983,0.45098039215686275,0.26666666666666666,0.18181818181818182,0.28940568475452194,0.04819277108433734,2,0.6709219858156028
19.0,0.09649122807017543,0.45098039215686275,0.3333333333333333,0.36363636363636365,0.28940568475452194,0.04819277108433734,2,0.6709219858156028
18.0,0.14035087719298245,0.3529411764705882,0.20000000000000004,0.4545454545454546,0.40568475452196384,0.22891566265060237,3,0.5290780141843971
12.0,0.2192982456140351,0.23529411764705882,0.20000000000000004,0.27272727272727276,0.40568475452196384,0.22891566265060237,3,0.5290780141843971
24.0,0.19298245614035087,0.27450980392156865,0.26666666666666666,0.18181818181818182,0.40568475452196384,0.22891566265060237,3,0.5290780141843971
14.0,0.20175438596491227,0.3137254901960784,0.20000000000000004,0.27272727272727276,0.40568475452196384,0.22891566265060237,3,0.5290780141843971
11.0,0.16666666666666669,0.19607843137254902,0.13333333333333333,0.09090909090909091,0.40568475452196384,0.22891566265060237,3,0.5290780141843971
13.0,0.2280701754385965,0.2156862745098039,0.20000000000000004,0.27272727272727276,0.40568475452196384,0.22891566265060237,3,0.5290780141843971
41.0,0.3333333333333333,0.23529411764705882,0.26666666666666666,0.27272727272727276,0.28940568475452194,0.3373493975903614,7,0.4936170212765957
35.0,0.2368421052631579,0.3333333333333333,0.26666666666666666,0.27272727272727276,0.28940568475452194,0.3373493975903614,7,0.4936170212765957
37.0,0.2280701754385965,0.3333333333333333,0.3333333333333333,0.4545454545454546,0.28940568475452194,0.3373493975903614,7,0.4936170212765957
31.0,0.25438596491228066,0.2549019607843137,0.26666666666666666,0.18181818181818182,0.28940568475452194,0.3373493975903614,7,0.4936170212765957
